성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
2.0,12.0,153.0,50.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,180.0,600.0
2.0,13.0,158.0,58.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,90.0,180.0
2.0,12.0,157.0,40.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,60.0,150.0
2.0,13.0,172.2,66.0,5.0,1.0,3.0,6.0,2.0,2.0,1.0,0.0,360.0
2.0,12.0,161.0,45.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,60.0,180.0
1.0,12.0,156.7,73.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,180.0,360.0
1.0,13.0,173.5,79.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,180.0,300.0
1.0,13.0,157.0,54.0,3.0,3.0,2.0,7.0,2.0,1.0,1.0,0.0,0.0
2.0,12.0,158.0,35.0,2.0,3.0,2.0,7.0,4.0,1.0,1.0,0.0,0.0
2.0,12.0,156.0,56.0,2.0,2.0,2.0,4.0,5.0,1.0,1.0,240.0,240.0
2.0,12.0,159.4,50.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,30.0,0.0
1.0,12.0,164.0,45.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,180.0,360.0
1.0,12.0,153.0,43.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,60.0,120.0
1.0,13.0,157.9,48.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,120.0
1.0,13.0,163.5,47.8,2.0,1.0,1.0,8.0,1.0,1.0,1.0,120.0,120.0
1.0,13.0,172.0,58.0,2.0,2.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0
1.0,12.0,166.0,48.6,2.0,1.0,1.0,4.0,2.0,1.0,1.0,120.0,180.0
1.0,13.0,175.2,78.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,120.0,240.0
1.0,13.0,159.5,42.0,4.0,5.0,1.0,6.0,5.0,1.0,1.0,60.0,60.0
1.0,13.0,171.0,53.0,5.0,5.0,3.0,4.0,5.0,2.0,1.0,200.0,310.0
1.0,13.0,171.0,55.0,3.0,2.0,1.0,8.0,3.0,2.0,1.0,120.0,180.0
1.0,14.0,185.0,68.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,50.0,10.0
1.0,14.0,177.0,68.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,60.0,60.0
1.0,14.0,162.0,58.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,180.0,300.0
2.0,14.0,160.0,47.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,150.0,150.0
2.0,13.0,151.8,52.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,240.0,240.0
2.0,13.0,161.0,40.0,2.0,3.0,4.0,2.0,5.0,1.0,1.0,240.0,300.0
2.0,14.0,158.7,56.7,4.0,2.0,3.0,1.0,5.0,2.0,1.0,90.0,60.0
2.0,14.0,152.8,45.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,60.0,120.0
